L-Stn,SG Cut V.,SG Fill V.,Mass H.,Cost
m.,Cu. m.,Cu. m.,Cu. m.,3.13*B3+7.05*C3+0.16*D3
0,221.1,0,0,692.043
20,588.9,0,221.1,1878.633
40,818,0,810,2689.94
60,695.7,0,1628,2438.021
80,520.3,0,2323.7,2000.331
100,375.1,0,2843.9,1629.087
120,235.7,0,3219,1252.781
140,202.5,0,3454.7,1186.577
160,93.7,113.8,3657.2,1680.723
180,0,438.4,3637.1,3672.656
200,0,725.4,3198.8,5625.878
220,0,785.5,2473.3,5933.503
240,0,586.1,1687.8,4402.053
260,0,347.2,1101.7,2624.032
280,0,155.6,754.5,1217.7
300,50.3,9.8,599,322.369
320,250,0,639.5,884.82
340,619.9,0,889.5,2082.607
360,1007.2,0,1509.4,3394.04
380,1231.1,0,2516.6,4255.999
400,1288.8,0,3747.7,4633.576
420,1143.3,0,5036.6,4384.385
440,722.8,0,6179.8,3251.132
460,355.2,0,6902.7,2216.208
480,224.6,0,7257.9,1864.262
500,202.1,0,7482.5,1829.773
520,217.6,0,7684.5,1910.608
540,109.4,117.6,7902.1,2435.838
560,0,500.5,7894,4791.565
580,0,805.1,7393.4,6858.899
600,0,736.1,6588.4,6243.649
620,0,910.3,5852.3,7353.983
640,0,867.9,4942,6909.415
660,0,767.6,4074.1,6063.436
680,0,672.5,3306.5,5270.165
700,0,370.6,2634,3034.17
720,0,232.7,2263.4,2002.679
740,20.5,130.5,2030.7,1309.102
760,141.9,3.9,1920.7,778.954
780,356.4,0,2058.7,1444.924
800,449.4,0,2415.1,1793.038
820,317.7,0,2864.6,1452.737
840,229,0,3182.3,1225.938
860,319.2,0,3411.3,1544.904
880,240.6,0,3730.5,1349.958
900,68,96.4,3971.1,1527.836
920,0,169.6,3942.7,1826.512
940,0,438.3,3773,3693.695
960,0,801.4,3334.7,6183.422
980,0,809.1,2533.2,6109.467
1000,0,836.8,1724.2,6175.312
1020,,,,
,,,,
,,,Total:,157333.335
